P,Num,Origin,choice,flipped_choice
"As Evan wandered through the charming streets of Montmartre, he stumbled upon a quaint little café that caught his eye. The aroma of freshly brewed coffee wafted out into the crisp morning air, drawing him in like a magnet. He pushed open the door and was immediately greeted by a warm smile from behind the counter. That's when he saw her - Emilie, with piercing green eyes and a mop of curly brown hair.

For several days, Evan returned to the café, ordering a café au lait and striking up conversations with Emilie. She was kind, witty, and spoke perfect English, making it easy for Evan to feel at ease. As they chatted, he discovered their shared love of art, music, and French cinema. With each visit, their conversations grew longer, and Evan felt himself falling under Emilie's spell.

One afternoon, as he sat sipping his coffee, Emilie surprised him with a sketchbook and pencils. ""I drew this while you were exploring,"" she said, revealing a beautiful caricature of him amidst the Eiffel Tower. Evan was smitten. As he thanked her, their hands touched, sending shivers down his spine. From that moment on, Evan knew he had to spend more time with Emilie.",0,A,A,A
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he waited in line, his gaze drifted to the barista with piercing green eyes and curly brown hair. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English.

""Bonjour! Welcome to our café. What can I get for you?""

As Evan ordered his coffee, their conversation flowed effortlessly, and before he knew it, he was chatting with Emilie like they were old friends. He learned that she was a native Parisian, studying art history at the Sorbonne, and had a passion for photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay.

One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights.

As the days went by, Evan realized he'd fallen deeply for this captivating French beauty. As they said their goodbyes on his final night in Paris, Evan leaned in and whispered, ""à bientôt, perhaps?""",0,B,B,B
"As Evan wandered through the charming streets of Montmartre, he stumbled upon a quaint little café that caught his eye. The aroma of freshly brewed coffee wafted out into the crisp morning air, drawing him in like a magnet. He pushed open the door and was immediately greeted by a warm smile from behind the counter. That's when he saw her - Emilie, with piercing green eyes and a mop of curly brown hair.

For several days, Evan returned to the café, ordering a café au lait and striking up conversation with Emilie. She was kind, witty, and spoke perfect English, making it easy for Evan to feel at ease. As they chatted, he discovered their shared love of art, music, and French cinema. With each visit, their conversations grew longer, and Evan felt himself falling under Emilie's spell.

One afternoon, as he sat sipping his coffee, Emilie surprised him with a sketchbook and pencils. ""I drew this while you were exploring,"" she said, revealing a beautiful caricature of him amidst the Eiffel Tower. Evan was smitten. As he thanked her, their hands touched, sending shivers down his spine. From that moment on, Evan knew he had to spend more time with Emilie.",1,A,A,A
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he waited in line, his gaze drifted to the barista with piercing green eyes and curly brown hair. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English.

""Bonjour! Welcome to our café. What can I get for you?""

As Evan ordered his coffee, their conversation flowed effortlessly, and before he knew it, he was chatting with Emilie like they were old friends. He learned that she was a native Parisian, studying art history at the Sorbonne, and had a passion for photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay.

One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights.

As the days went by, Evan realized he'd fallen deeply for this captivating French beauty. As they said their goodbyes on his final night in Paris, Evan leaned in and whispered, ""à bientôt, perhaps?""",1,B,B,B
"As Evan wandered through the charming streets of Montmartre, he stumbled upon a quaint little café that caught his eye. The aroma of freshly brewed coffee wafted out into the crisp morning air, drawing him in like a magnet. He pushed open the door and was immediately greeted by a warm smile from behind the counter. That's when he saw her - Emilie, with piercing green eyes and a mop of curly brown hair.

For several days, Evan returned to the café, ordering a café au lait and striking up conversation with Emilie. She was kind, witty, and spoke perfect English, making it easy for Evan to feel at ease. As they chatted, he discovered their shared love of art, music, and French cinema. With each visit, their conversations grew longer, and Evan felt himself falling under Emilie's spell.

One afternoon, as he sat sipping his coffee, Emilie surprised him with a sketchbook and pencils. ""I drew this while you were exploring,"" she said, revealing a beautiful caricature of him amidst the Eiffel Tower. He was smitten. As he thanked her, their hands touched, sending shivers down his spine. From that moment on, Evan knew he had to spend more time with Emilie.",2,A,A,A
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he waited in line, his gaze drifted to the barista with piercing green eyes and curly brown hair. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English.

""Bonjour! Welcome to our café. What can I get for you?""

As Evan ordered his coffee, their conversation flowed effortlessly, and before he knew it, he was chatting with Emilie like they were old friends. He learned that she was a native Parisian, studying art history at the Sorbonne, and had a passion for photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay.

One afternoon, as they sipped espressos together outside, Emilie offered to show him the neighborhood's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights.

As the days went by, Evan realized he'd fallen deeply for this captivating French beauty. As they said their goodbyes on his final night in Paris, Evan leaned in and whispered, ""à bientôt, perhaps?""",2,B,B,B
"As Evan wandered through the charming streets of Montmartre, he stumbled upon a quaint little café that caught his eye. The aroma of freshly brewed coffee wafted out into the crisp morning air, drawing him in like a magnet. He pushed open the door and was immediately greeted by a warm smile from behind the counter. That's when he saw her - Emilie, with piercing green eyes and a mop of curly brown hair.

For several days, Evan returned to the café, ordering a café au lait and striking up conversation with Emilie. She was kind, witty, and spoke perfect English, making it easy for Evan to feel at ease. As they chatted, he discovered their shared love of art, music, and French cinema. With each visit, their conversations grew longer, and Evan felt himself falling under Emilie's spell.

One afternoon, as he sat sipping his coffee, Emilie surprised him with a sketchbook and pencils. ""I drew this while you were exploring,"" she said, revealing a beautiful caricature of him amidst the Eiffel Tower. He felt smitten. As he thanked her, their hands touched, sending shivers down his spine. From that moment on, Evan knew he had to spend more time with Emilie.",3,A,A,A
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he waited in line, his gaze drifted to the barista with piercing green eyes and curly brown hair. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English.

""Bonjour! Welcome to our café. What can I get for you?""

As Evan ordered his coffee, their conversation flowed effortlessly, and before he knew it, he was chatting with Emilie like they were old friends. He learned that she was a lifelong Parisian, studying art history at the Sorbonne, and had a passion for photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay.

One afternoon, as they sipped espressos together outside, Emilie offered to show him the neighborhood's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights.

As the days went by, Evan realized he'd fallen deeply for this captivating French beauty. As they said their goodbyes on his final night in Paris, Evan leaned in and whispered, ""à bientôt, perhaps?""",3,B,A,B
"As Evan wandered through the charming streets of Montmartre, he stumbled upon a quaint little café that caught his eye. The aroma of freshly brewed coffee wafted out into the crisp morning air, drawing him in like a magnet. He pushed open the door and was immediately greeted by a warm smile from behind the counter. That's when he saw her - Emilie, with piercing green eyes and a mop of curly brown hair.

For several days, Evan returned to the café, ordering a café au lait and striking up conversation with Emilie. She was kind, witty, and spoke perfect English, making it easy for Evan to feel at ease. As they chatted, he discovered their shared love of art, music, and French cinema. With each visit, their conversations grew longer, and Evan felt himself falling under Emilie's spell.

One afternoon, as he sat sipping his tea, Emilie surprised him with a sketchbook and pencils. ""I drew this while you were exploring,"" she said, revealing a beautiful caricature of him amidst the Eiffel Tower. He felt smitten. As he thanked her, their hands touched, sending shivers down his spine. From that moment on, Evan knew he had to spend more time with Emilie.",4,A,A,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he waited in line, his gaze drifted to the barista with piercing green eyes and curly brown hair. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English.

""Bonjour! Welcome to our café. What can I get for you?""

As Evan ordered his coffee, their conversation flowed effortlessly, and before he knew it, he was chatting with Emilie like they were old friends. He learned that she was a lifelong Parisian, studying art history at the Sorbonne, and had a passion for photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay.

One afternoon, as they sipped espressos together outside, Emilie offered to show him the neighborhood's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights.

As the days went by, Evan realized he'd fallen hard for this captivating French beauty. As they said their goodbyes on his final night in Paris, Evan leaned in and whispered, ""à bientôt, perhaps?""",4,B,A,B
